87.4666666667	264	87.4666666667	352	door	1	1	
170	54	170	72	door	1	1	
170	84	170	122	door	1	1	
252.0625	223	252.0625	254	door	1	1	
123	418	218	418	door	1	1	
122	209.666666667	167	209.666666667	door	1	1	
205	209.666666667	247	209.666666667	door	1	1	
192	76.5	225	76.5	door	1	1	
42	362	85	362	door	1	1	
87	49	139	49	door	1	1	
11	307	44	346	washing_basin	1	1	
84	52	132	101	entrance	1	1	
11	258	55	298	washing_basin	1	1	
11	239	47	256	special	3	1	
12	420	84	465	bathtub	1	1	
85	106	115	174	cooking_counter	1	1	
85	177	114	208	washing_basin	2	1	
77.255131770626	122.08603716947	127.25513177063	142.08603716947	kitchen	1	1	
154.5	52.5	204.5	72.5	closet	1	1	
185	52.5	235	72.5	closet	1	1	
216	52.5	266	72.5	closet	1	1	
185.5	92.5	235.5	112.5	restroom	1	1	
185.5	159	235.5	179	closet	1	1	
144.5	303.5	194.5	323.5	bedroom	1	1	
22.5	289.5	72.5	309.5	washing_room	1	1	
22.5	405.5	72.5	425.5	bathroom	1	1	
144.5	433.5	194.5	453.5	balcony	1	1	
252.25	418	252.25	469.666666667	wall	1	1	
87.4666666667	469.666666667	252.25	469.666666667	wall	1	1	
8	469.666666667	87.4666666667	469.666666667	wall	1	1	
8	362	8	469.666666667	wall	1	1	
83.6666666667	49	170	49	wall	1	1	
8	237	8	362	wall	1	1	
8	237	87.4666666667	237	wall	1	1	
231.5	49	251.875	49	wall	1	1	
251.875	49	251.875	76.5	wall	1	1	
231.5	49	231.5	76.5	wall	1	1	
189.5	49	231.5	49	wall	1	1	
189.5	49	189.5	76.5	wall	1	1	
170	49	189.5	49	wall	1	1	
170	49	170	76.5	wall	1	1	
87.4666666667	237	87.4666666667	362	wall	1	1	
87.4666666667	362	87.4666666667	418	wall	1	1	
8	362	87.4666666667	362	wall	1	1	
252.25	209.666666667	252.25	418	wall	1	1	
87.4666666667	418	252.25	418	wall	1	1	
87.4666666667	209.666666667	87.4666666667	237	wall	1	1	
251.875	76.5	251.875	129	wall	1	1	
251.875	129	251.875	209.666666667	wall	1	1	
170	129	251.875	129	wall	1	1	
170	209.666666667	251.875	209.666666667	wall	1	1	
231.5	76.5	251.875	76.5	wall	1	1	
87.4666666667	418	87.4666666667	469.666666667	wall	1	1	
170	129	170	209.666666667	wall	1	1	
87.4666666667	209.666666667	170	209.666666667	wall	1	1	
189.5	76.5	231.5	76.5	wall	1	1	
170	76.5	189.5	76.5	wall	1	1	
170	76.5	170	129	wall	1	1	
