290.5	72	290.5	100	door	1	1	
319	15	319	44	door	1	1	
40	43	40	100	door	1	1	
240.333333333	72	240.333333333	105	door	1	1	
286	13	316	49	entrance	1	1	
194	49	239	68	cooking_counter	1	1	
0	61.5	50	81.5	balcony	1	1	
186.70833333325	70.685185185283	236.70833333325	90.685185185283	kitchen	1	1	
279.5	92.5	329.5	112.5	restroom	1	1	
153	93	203	113	closet	1	1	
191.5	93	241.5	113	bathroom	1	1	
240.333333333	49	240.333333333	73	wall	1	1	
319	72	319	133.666666667	wall	1	1	
290.5	133.666666667	319	133.666666667	wall	1	1	
10	133.777777778	40	133.777777778	wall	1	1	
10	10.6666666667	10	133.777777778	wall	1	1	
10	10.6666666667	40	10.6666666667	wall	1	1	
163.5	73	163.5	133.777777778	wall	1	1	
163.5	73	193.5	73	wall	1	1	
290.5	72	290.5	133.666666667	wall	1	1	
290.5	72	319	72	wall	1	1	
40	10.6666666667	319	10.6666666667	wall	1	1	
319	10.6666666667	319	72	wall	1	1	
40	10.6666666667	40	133.777777778	wall	1	1	
240.333333333	73	240.333333333	133.666666667	wall	1	1	
193.5	73	240.333333333	73	wall	1	1	
240.333333333	133.666666667	290.5	133.666666667	wall	1	1	
193.5	133.666666667	240.333333333	133.666666667	wall	1	1	
193.5	73	193.5	133.666666667	wall	1	1	
163.5	133.666666667	193.5	133.666666667	wall	1	1	
40	133.777777778	163.5	133.777777778	wall	1	1	
