214.666666667	83	214.666666667	230	door	1	1	
64.3333333333	92	64.3333333333	115	door	1	1	
368.333333333	92	368.333333333	219	door	1	1	
64.3333333333	127	64.3333333333	153	door	1	1	
297	80.3333333333	365	80.3333333333	door	1	1	
68	43.3125	99	43.3125	door	1	1	
266	232.555555556	315	232.555555556	door	1	1	
134	232.555555556	186	232.555555556	door	1	1	
218	80.3333333333	289	80.3333333333	door	1	1	
12	78	30	100	washing_basin	1	1	
13	46	60	80	bathtub	1	1	
11	205	101	228	cooking_counter	1	1	
66	45	102	80	entrance	1	1	
12	129	39	148	toilet	1	1	
227.5	51	277.5	71	closet	1	1	
304.5	51	354.5	71	closet	1	1	
362.5	127.5	412.5	147.5	balcony	1	1	
11	71	61	91	bathroom	1	1	
101.29985922102	134.77545753168	151.29985922102	154.77545753168	living_room	1	1	
266	146	316	166	bedroom	1	1	
11	128	61	148	restroom	1	1	
64.3333333333	119	64.3333333333	157	wall	1	1	
8.22222222222	157	64.3333333333	157	wall	1	1	
407	42.875	407	233.333333333	wall	1	1	
368.333333333	233.333333333	407	233.333333333	wall	1	1	
8.33333333333	232.555555556	214.666666667	232.555555556	wall	1	1	
8.33333333333	157	8.33333333333	232.555555556	wall	1	1	
8.22222222222	43.75	8.22222222222	119	wall	1	1	
8.22222222222	43.75	64.3333333333	43.75	wall	1	1	
368.333333333	42.875	407	42.875	wall	1	1	
64.3333333333	43.75	214.666666667	43.75	wall	1	1	
64.3333333333	43.75	64.3333333333	119	wall	1	1	
368.333333333	42.875	368.333333333	80.3333333333	wall	1	1	
291	42.875	368.333333333	42.875	wall	1	1	
291	42.875	291	80.3333333333	wall	1	1	
214.666666667	42.875	291	42.875	wall	1	1	
214.666666667	42.875	214.666666667	80.3333333333	wall	1	1	
368.333333333	80.3333333333	368.333333333	232.555555556	wall	1	1	
291	80.3333333333	368.333333333	80.3333333333	wall	1	1	
8.22222222222	119	64.3333333333	119	wall	1	1	
214.666666667	232.555555556	368.333333333	232.555555556	wall	1	1	
214.666666667	80.3333333333	291	80.3333333333	wall	1	1	
214.666666667	80.3333333333	214.666666667	232.555555556	wall	1	1	
8.22222222222	119	8.22222222222	157	wall	1	1	
